word,decision,reason_or_evidence
GAPE,keep,00879037: a stare of amazement (usually with the mouth open)
GARB,exclude,no clear singular countable sense (heuristic)
GASH,keep,00388065: a strong sweeping cut made with a sharp instrument
GASP,keep,00837098: a short labored intake of breath with the mouth open
GATE,keep,03427296: a movable barrier in a fence or wall
GAUD,exclude,no clear singular countable sense (heuristic)
GAUR,keep,02410011: wild ox of mountainous areas of eastern India
GAWK,keep,10274639: an awkward stupid person
GAZE,keep,00878648: a long fixed look
GEAN,exclude,no clear singular countable sense (heuristic)
GEAR,keep,03430551: a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
GEEK,keep,10042845: a person with an unusual or odd personality
GELT,exclude,no clear singular countable sense (heuristic)
GENE,exclude,no clear singular countable sense (heuristic)
GENS,exclude,possible plural or plural-only form
GENT,keep,09908025: a boy or man
GENU,exclude,no clear singular countable sense (heuristic)
GERM,keep,01384491: a minute life form (especially a disease-causing bacterium)
GETA,exclude,no clear singular countable sense (heuristic)
GEUM,exclude,no clear singular countable sense (heuristic)
GHAT,exclude,no clear singular countable sense (heuristic)
GHEE,exclude,no clear singular countable sense (heuristic)
GIBE,keep,06767922: an aggressive remark directed at a person like a missile and intended to have a telling effect
GIFT,exclude,no clear singular countable sense (heuristic)
GILD,keep,08227214: a formal association of people with similar interests
GILL,keep,02510769: respiratory organ of aquatic animals that breathe oxygen dissolved in water
GILT,keep,03437430: a coating of gold or of something that looks like gold
GIMP,exclude,no clear singular countable sense (heuristic)
GIRL,keep,09992837: a female human offspring
GIRO,keep,08055321: a British financial system in which a bank or a post office transfers money from one account to another when they receive authorization to do so
GISH,exclude,no clear singular countable sense (heuristic)
GIST,exclude,no clear singular countable sense (heuristic)
GIVE,exclude,no clear singular countable sense (heuristic)
GLAD,exclude,no clear singular countable sense (heuristic)
GLEE,exclude,no clear singular countable sense (heuristic)
GLEN,keep,09289596: a narrow secluded valley (in the mountains)
GLIA,exclude,no clear singular countable sense (heuristic)
GLOP,exclude,no clear singular countable sense (heuristic)
GLOW,keep,04954534: an appearance of reflected light
GLUE,exclude,no clear singular countable sense (heuristic)
GLUT,exclude,no clear singular countable sense (heuristic)
GNAT,keep,02200630: (British usage) mosquito
GOAD,keep,04007664: a pointed instrument that is used to prod into a state of motion
GOAL,keep,00187337: a successful attempt at scoring
GOAT,keep,09884666: a victim of ridicule or pranks
GOBI,exclude,no clear singular countable sense (heuristic)
GOBY,exclude,no clear singular countable sense (heuristic)
GOER,keep,10004539: someone who leaves
GOLD,keep,04966240: a deep yellow color
GOLF,keep,00464894: a game played on a large open course with 9 or 18 holes
GONG,keep,03017168: a percussion instrument consisting of a set of tuned bells that are struck with a hammer
GOOD,exclude,no clear singular countable sense (heuristic)
GOOF,keep,09930876: a person who amuses others by ridiculous behavior
GOOK,exclude,no clear singular countable sense (heuristic)
GOON,keep,10184081: an aggressive and violent young criminal
GORE,keep,03448253: a piece of cloth that is generally triangular or tapering
GOUT,keep,14188804: a painful inflammation of the big toe and foot caused by defects in uric acid metabolism resulting in deposits of the acid and its salts in the blood and joints
GOWN,keep,"03450230: a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions"
GRAB,keep,03450881: a mechanical device for gripping an object
GRAD,keep,09786338: a person who has received a degree from a school (high school or college or university)
GRAM,keep,13723712: a metric unit of weight equal to one thousandth of a kilogram
GRAY,keep,02381364: horse of a light gray or whitish color
GREY,keep,02381364: horse of a light gray or whitish color
GRID,keep,03458422: a cooking utensil of parallel metal bars
GRIN,keep,06878071: a facial expression characterized by turning up the corners of the mouth
GRIP,keep,02773838: a portable rectangular container for carrying clothes
GRIS,exclude,possible plural or plural-only form
GRIT,exclude,no clear singular countable sense (heuristic)
GROG,exclude,no clear singular countable sense (heuristic)
GROT,keep,09294877: a small cave (usually with attractive features)
GRUB,keep,02312006: a soft thick wormlike larva of certain beetles and other insects
GUAN,exclude,no clear singular countable sense (heuristic)
GUAR,exclude,no clear singular countable sense (heuristic)
GUFF,exclude,no clear singular countable sense (heuristic)
GUIB,keep,02425228: antelope with white markings like a harness and twisted horns
GULA,exclude,no clear singular countable sense (heuristic)
GULF,keep,04753060: an unbridgeable disparity (as from a failure of understanding)
GULL,keep,02041246: mostly white aquatic bird having long pointed wings and short legs
GULP,keep,00840189: a large and hurried swallow
GUNK,exclude,no clear singular countable sense (heuristic)
GURU,keep,10152616: a Hindu or Buddhist religious leader and spiritual teacher
GUSH,keep,07014320: an unrestrained expression of emotion
GUST,keep,11465017: a strong current of air
GYPS,exclude,possible plural or plural-only form
GYRE,keep,13875970: a round shape formed by a series of concentric circles (as formed by leaves or flower petals)
GYRO,exclude,no clear singular countable sense (heuristic)
HACK,keep,02378969: a saddle horse used for transportation rather than sport etc.
HADJ,exclude,no clear singular countable sense (heuristic)
HAEM,exclude,no clear singular countable sense (heuristic)
HAFT,exclude,no clear singular countable sense (heuristic)
HAIK,keep,03475421: an outer garment consisting of a large piece of white cloth
HAIL,exclude,no clear singular countable sense (heuristic)
HAIR,keep,01900150: a filamentous projection or process on an organism
HAKE,exclude,no clear singular countable sense (heuristic)
HALE,exclude,no clear singular countable sense (heuristic)
HALF,keep,13736799: one of two equal parts of a divisible whole
HALL,keep,02715513: a large entrance or reception room or area
HALO,keep,04951716: an indication of radiant light drawn around the head of a saint
HALS,exclude,possible plural or plural-only form
HALT,keep,01063697: an interruption or temporary suspension of progress or movement
HAME,exclude,no clear singular countable sense (heuristic)
HAND,keep,02440250: terminal part of the forelimb in certain vertebrates (e.g. apes or kangaroos)
HANK,keep,03491988: a coil of rope or wool or yarn
HARE,keep,02326432: swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs
HARM,exclude,no clear singular countable sense (heuristic)
HARP,keep,03494278: a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole
HART,keep,"02431337: a male deer, especially an adult male red deer"
HASH,exclude,no clear singular countable sense (heuristic)
HASP,keep,03497352: a fastener for a door or lid
HATE,exclude,no clear singular countable sense (heuristic)
HAUL,exclude,no clear singular countable sense (heuristic)
HAVE,keep,10529231: a person who possesses great material wealth
HAWK,keep,01605630: diurnal bird of prey typically having short rounded wings and a long tail
HAZE,exclude,no clear singular countable sense (heuristic)
HEAD,keep,01318381: a single domestic animal
HEAP,keep,02924554: a car that is old and unreliable
HEAT,keep,07461288: a preliminary race in which the winner advances to a more important race
HEED,exclude,no clear singular countable sense (heuristic)
HEEL,keep,07683973: one of the crusty ends of a loaf of bread
HEFT,exclude,no clear singular countable sense (heuristic)
HEIR,exclude,"requires an, or pronunciation varies by dialect"
HELL,keep,07305907: a cause of difficulty and suffering
HELM,keep,01256615: a position of leadership
HELP,keep,05149832: a means of serving
HEME,exclude,no clear singular countable sense (heuristic)
HEMP,keep,03491724: a rope that is used by a hangman to execute persons who have been condemned to death by hanging
HERB,exclude,"requires an, or pronunciation varies by dialect"
HERD,keep,07994331: a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
HERE,exclude,no clear singular countable sense (heuristic)
HERO,keep,09906538: someone who fights for a cause
HICK,keep,10804102: a person who is not very intelligent or interested in culture
HIDE,keep,01895735: body covering of a living animal
HIGH,keep,03518631: a forward gear with a gear ratio that gives the greatest vehicle velocity for a given engine speed
HIKE,keep,00288970: a long walk usually for exercise or pleasure
HILL,keep,09303008: a local and well-defined elevation of the land
HILT,exclude,no clear singular countable sense (heuristic)
HIND,keep,"02431441: a female deer, especially an adult female red deer"
HINT,keep,06651577: an indication of potential opportunity
HIRE,keep,10170060: a newly hired employee
HISS,keep,07123870: a cry or noise made to express displeasure or contempt
HIVE,keep,02822865: a man-made receptacle that houses a swarm of bees
HOAR,exclude,no clear singular countable sense (heuristic)
HOAX,exclude,no clear singular countable sense (heuristic)
HOBO,keep,10723300: a disreputable vagrant
HOCK,keep,02463205: tarsal joint of the hind leg of hoofed mammals
HOLD,keep,03525252: a cell in a jail or prison
HOLE,keep,03526198: an opening deliberately made in or through something
HOLY,keep,08585056: a sacred place of pilgrimage
HOME,keep,03528100: an institution where people are cared for
HOMO,keep,"02472293: any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage"
HONE,exclude,no clear singular countable sense (heuristic)
HONK,exclude,no clear singular countable sense (heuristic)
HOOD,keep,01748100: (zoology) an expandable part or marking that resembles a hood on the head or neck of an animal
HOOF,keep,02153959: the foot of an ungulate mammal
HOOK,keep,00111358: a basketball shot made over the head with the hand that is farther from the basket
HOOP,keep,03533972: a rigid circular band of metal or wood or other material used for holding or fastening or hanging or pulling
HOOT,keep,07122555: a loud raucous cry (as of an owl)
HOPE,keep,04848262: one of the three Christian virtues
HOPI,exclude,no clear singular countable sense (heuristic)
HORN,keep,01325417: one of the bony outgrowths on the heads of certain ungulates
HOSE,keep,03539875: a flexible pipe for conveying a liquid or gas
HOST,keep,01385527: an animal or plant that nourishes and supports a parasite
HOUR,exclude,"requires an, or pronunciation varies by dialect"
HOWE,exclude,no clear singular countable sense (heuristic)
HOWL,keep,07126734: a long loud emotional utterance
HUCK,exclude,no clear singular countable sense (heuristic)
HUFF,keep,14407070: a state of irritation or annoyance
HULA,keep,00542458: a Polynesian rain dance performed by a woman
HULK,keep,03548533: a ship that has been wrecked and abandoned
HULL,exclude,no clear singular countable sense (heuristic)
HUMP,exclude,no clear singular countable sense (heuristic)
HUNK,keep,09307300: a large piece of something without definite shape
HUNT,keep,05770257: an instance of searching for something
HURL,keep,00105479: a violent throw
HURT,keep,07420538: a damage or loss
HUSH,exclude,no clear singular countable sense (heuristic)
HUSK,exclude,no clear singular countable sense (heuristic)
HUSS,exclude,no clear singular countable sense (heuristic)
HYMN,keep,07035870: a song of praise (to God or to a saint or to a nation)
HYPO,keep,03555662: a piston syringe that is fitted with a hypodermic needle for giving injections
JACK,keep,02389943: male donkey
JADE,keep,02382204: an old or over-worked horse
JAIL,keep,03592245: a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
JAMB,exclude,no clear singular countable sense (heuristic)
JAPE,keep,06778102: a humorous anecdote or remark intended to provoke laughter
JATI,exclude,no clear singular countable sense (heuristic)
JAZZ,keep,07060976: a style of dance music popular in the 1920s
JEAN,keep,03175189: a coarse durable twill-weave cotton fabric
JEEP,keep,03594945: a car suitable for traveling over rough terrain
JEER,exclude,no clear singular countable sense (heuristic)
JERK,keep,00115500: a sudden abrupt pull
JEST,keep,06778102: a humorous anecdote or remark intended to provoke laughter
JIBE,keep,06767922: an aggressive remark directed at a person like a missile and intended to have a telling effect
JILT,keep,10222259: a woman who jilts a lover
JINX,keep,07160424: an evil spell
JIVE,keep,07066042: a style of jazz played by big bands popular in the 1930s
JOCK,keep,02752615: a support for the genitals worn by men engaging in strenuous exercise
JOIN,keep,07998712: a set containing all and only the members of two or more given sets
JOKE,keep,00427580: a ludicrous or grotesque act done for fun and amusement
JOLT,keep,00335988: an abrupt spasmodic movement
JOSS,keep,03602267: a Chinese god worshipped in the form of an idol
JOWL,keep,05602982: a fullness and looseness of the flesh of the lower cheek and jaw (characteristic of aging)
JUDO,keep,00825773: a sport adapted from jujitsu (using principles of not resisting) and similar to wrestling
JUJU,keep,03603958: a charm superstitiously believed to embody magical powers
JUKE,keep,03603199: a small roadside establishment in the southeastern United States where you can eat and drink and dance to music provided by a jukebox
JUMP,keep,00867357: a sudden involuntary movement
JUNE,exclude,no clear singular countable sense (heuristic)
JUNK,exclude,no clear singular countable sense (heuristic)
JURY,keep,08414119: a body of citizens sworn to give a true verdict according to the evidence presented in a court of law
JUTE,exclude,no clear singular countable sense (heuristic)
JYNX,exclude,no clear singular countable sense (heuristic)
KAIL,keep,11876976: a hardy cabbage with coarse curly leaves that do not form a head
KAKI,keep,02035656: blackish stilt of New Zealand sometimes considered a color phase of the white-headed stilt
KALE,keep,11876976: a hardy cabbage with coarse curly leaves that do not form a head
KALI,exclude,no clear singular countable sense (heuristic)
KAVA,exclude,no clear singular countable sense (heuristic)
KAYO,keep,00134099: a blow that renders the opponent unconscious
KEEL,keep,03609542: one of the main longitudinal beams (or plates) of the hull of a vessel
KEEN,keep,07042735: a funeral lament sung with loud wailing
KEEP,keep,03525252: a cell in a jail or prison
KELP,keep,01403457: large brown seaweeds having fluted leathery fronds
KELT,exclude,no clear singular countable sense (heuristic)
KENO,keep,00504660: a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards
KENT,exclude,no clear singular countable sense (heuristic)
KEPI,keep,03610682: a cap with a flat circular top and a visor
KERN,exclude,no clear singular countable sense (heuristic)
KHAN,keep,02961035: an inn in some eastern countries with a large courtyard that provides accommodation for caravans
KHAT,exclude,no clear singular countable sense (heuristic)
KIBE,exclude,no clear singular countable sense (heuristic)
KICK,keep,00336805: a rhythmic thrusting movement of the legs as in swimming or calisthenics
KIKE,exclude,no clear singular countable sense (heuristic)
KILL,exclude,no clear singular countable sense (heuristic)
KILN,keep,03617095: a furnace for firing or burning or drying such things as porcelain or bricks
KILO,keep,13724582: one thousand grams
KILT,keep,03617312: a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland
KINA,exclude,no clear singular countable sense (heuristic)
KIND,keep,05839024: a category of things distinguished by some common characteristic or quality
KING,keep,03618339: a checker that has been moved to the opponent's first row where it is promoted to a piece that is free to move either forward or backward
KINK,keep,05688770: a difficulty or flaw in a plan or operation
KINO,exclude,no clear singular countable sense (heuristic)
KIRK,keep,03618982: a Scottish church
KISS,keep,00138078: a light glancing touch
KITE,keep,13382306: a bank check drawn on insufficient funds at another bank in order to take advantage of the float
KITH,exclude,no clear singular countable sense (heuristic)
KIVU,exclude,no clear singular countable sense (heuristic)
KIWI,keep,01520576: nocturnal flightless bird of New Zealand having a long neck and stout legs
KNEE,keep,02464065: joint between the femur and tibia in a quadruped
KNIT,keep,03625226: a basic knitting stitch
KNOB,keep,03626014: a round handle
KNOT,keep,02028900: a sandpiper that breeds in the Arctic and winters in the southern hemisphere
KNOW,exclude,no clear singular countable sense (heuristic)
KNUT,exclude,no clear singular countable sense (heuristic)
KOHL,keep,03628071: a cosmetic preparation used by women in Egypt and Arabia to darken the edges of their eyelids
KOLA,exclude,no clear singular countable sense (heuristic)
KORE,exclude,no clear singular countable sense (heuristic)
KOTO,exclude,no clear singular countable sense (heuristic)
KUDU,keep,02424305: either of two spiral-horned antelopes of the African bush
KYAT,exclude,no clear singular countable sense (heuristic)
LACE,keep,03631177: a delicate decorative fabric woven in an open web of symmetrical patterns
LACK,exclude,no clear singular countable sense (heuristic)
LADY,keep,09989290: a woman of refinement
LAIR,exclude,no clear singular countable sense (heuristic)
LAKE,keep,09328904: a body of (usually fresh) water surrounded by land
LAMA,keep,10243664: a Tibetan or Mongolian priest of Lamaism
LAMB,keep,02412440: young sheep
LAME,keep,03635330: a fabric interwoven with threads of metal
LAMP,keep,03636248: an artificial source of visible illumination
LAND,keep,08168978: a politically organized body of people under a single government
LANE,keep,03640589: a narrow way or road
LARD,exclude,no clear singular countable sense (heuristic)
LARI,exclude,no clear singular countable sense (heuristic)
LARK,keep,01528654: a songbird that lives mainly on the ground in open country
LASH,keep,00134574: a quick blow delivered with a whip or whiplike object
LASS,keep,10247358: a girl or young woman who is unmarried
LAST,keep,01264667: a person's dying act
LATH,exclude,no clear singular countable sense (heuristic)
LAVA,exclude,no clear singular countable sense (heuristic)
LAWN,keep,08591592: a field of cultivated and mowed grass
LEAD,keep,01256743: a position of leadership (especially in the phrase `take the lead')
LEAF,exclude,no clear singular countable sense (heuristic)
LEAK,keep,09337048: an accidental hole that allows something (fluid or light etc.) to enter or escape
LEAN,exclude,no clear singular countable sense (heuristic)
LEAP,keep,"00120202: a light, self-propelled movement upwards or forwards"
LEAR,exclude,no clear singular countable sense (heuristic)
LECH,exclude,no clear singular countable sense (heuristic)
LEDE,exclude,no clear singular countable sense (heuristic)
LEEK,exclude,no clear singular countable sense (heuristic)
LEER,keep,04680027: a suggestive or sneering look or grin
LEES,exclude,possible plural or plural-only form
LEFT,keep,00351168: a turn toward the side of the body that is on the north when the person is facing east
LENS,keep,03656484: a transparent optical device used to converge or diverge transmitted light and to form images
LENT,exclude,no clear singular countable sense (heuristic)
LEVY,keep,13308864: a charge imposed and collected
LIAR,keep,10256537: a person who has lied or who lies repeatedly
LICK,keep,09420689: a salt deposit that animals regularly lick
LIDO,keep,03661861: a recreational facility including a swimming pool for water sports
LIED,keep,07051620: a German art song of the 19th century for voice and piano
LIEN,keep,05333467: a large dark-red oval organ on the left side of the body between the stomach and the diaphragm
LIEU,exclude,no clear singular countable sense (heuristic)
LIFE,keep,06515827: an account of the series of events making up a person's life
LIFO,exclude,no clear singular countable sense (heuristic)
LIFT,keep,00309276: a ride in a car
LIKE,keep,05845419: a kind of person
LILT,keep,04992008: a jaunty rhythm in music
LILY,exclude,no clear singular countable sense (heuristic)
LIMB,keep,05560244: one of the jointed appendages of an animal used for locomotion or grasping: arm
LIME,exclude,no clear singular countable sense (heuristic)
LIMO,exclude,no clear singular countable sense (heuristic)
LIMP,exclude,no clear singular countable sense (heuristic)
LINE,keep,02934168: a conductor for transmitting electrical or optical signals or electric power
LING,keep,02523427: elongate freshwater cod of northern Europe and Asia and North America having barbels around its mouth
LINK,keep,03673971: a fastener that serves to join or connect
LINO,exclude,no clear singular countable sense (heuristic)
LINT,exclude,no clear singular countable sense (heuristic)
LION,keep,02129165: large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
LIRA,exclude,no clear singular countable sense (heuristic)
LISP,keep,14402763: a speech defect that involves pronouncing `s' like voiceless `th' and `z' like voiced `th'
LIST,keep,06481320: a database containing an ordered array of items (names or topics)
LOAD,keep,05832745: an onerous or difficult concern
LOAF,exclude,no clear singular countable sense (heuristic)
LOAM,exclude,no clear singular countable sense (heuristic)
LOAN,keep,06293460: a word borrowed from another language
LOBE,keep,03680734: a rounded projection that is part of a larger structure
LOCH,keep,09341987: a long narrow inlet of the sea in Scotland (especially when it is nearly landlocked)
LOCK,keep,03682487: a fastener fitted to a door or drawer to keep it firmly closed
LODE,keep,11446067: a deposit of valuable ore occurring within definite boundaries separating it from surrounding rocks
LOFT,keep,03686363: a raised shelter in which pigeons are kept
LOGE,exclude,no clear singular countable sense (heuristic)
LOGO,keep,07272084: a company emblem or device
LOIN,keep,02463403: either side of the backbone between the hipbone and the ribs in humans as well as quadrupeds
LOIR,keep,02352932: large European dormouse
LOOK,exclude,no clear singular countable sense (heuristic)
LOOM,keep,03689157: a textile machine for weaving yarn into a textile
LOON,keep,02049088: large somewhat primitive fish-eating diving bird of the northern hemisphere having webbed feet placed far back
LOOP,keep,00169811: a flight maneuver
LOOT,exclude,no clear singular countable sense (heuristic)
LOPE,keep,00288486: a smooth three-beat gait
LORD,keep,10388440: a person who has general authority over others
LORE,exclude,no clear singular countable sense (heuristic)
LORY,exclude,no clear singular countable sense (heuristic)
LOSS,exclude,no clear singular countable sense (heuristic)
LOST,exclude,no clear singular countable sense (heuristic)
LOTA,keep,03690851: a globular water bottle used in Asia
LOTS,exclude,possible plural or plural-only form
LOUT,keep,10274639: an awkward stupid person
LOVE,keep,07488340: a deep feeling of sexual desire and attraction
LUBE,exclude,no clear singular countable sense (heuristic)
LUCE,exclude,no clear singular countable sense (heuristic)
LUCK,keep,11418138: an unknown and unpredictable phenomenon that causes an event to result one way rather than another
LUCY,exclude,no clear singular countable sense (heuristic)
LUDO,keep,00504975: a simple board game in which players move counters according to the throw of dice
LUES,exclude,possible plural or plural-only form
LUFF,exclude,no clear singular countable sense (heuristic)
LUGE,keep,03695753: a racing sled for one or two people
LUKE,exclude,no clear singular countable sense (heuristic)
LULL,keep,14522956: a period of calm weather
LULU,keep,10613996: a very attractive or seductive looking woman
LUMP,keep,07961016: a compact mass
LUNA,exclude,no clear singular countable sense (heuristic)
LUNG,exclude,no clear singular countable sense (heuristic)
LUNT,exclude,no clear singular countable sense (heuristic)
LURE,exclude,no clear singular countable sense (heuristic)
LUSH,keep,09782167: a person who drinks alcohol to excess habitually
LUST,keep,07489714: a strong sexual desire
LUTE,exclude,no clear singular countable sense (heuristic)
LYNX,keep,02127052: short-tailed wildcats with usually tufted ears
LYRA,exclude,no clear singular countable sense (heuristic)
LYRE,keep,03699280: a harp used by ancient Greeks for accompaniment
MACE,keep,07267461: a ceremonial staff carried as a symbol of office or authority
MACK,keep,03702719: a waterproof raincoat made of rubberized fabric
MAGI,exclude,irregular plural form
MAHA,exclude,no clear singular countable sense (heuristic)
MAID,keep,10282482: an unmarried girl (especially a virgin)
MAIL,keep,03709644: a conveyance that transports the letters and packages that are conveyed by the postal system
MAIN,keep,03711145: a principal pipe in a system that distributes water or gas or electricity or that collects sewage
MAKE,keep,05845140: a recognizable kind
MAKO,keep,01484097: powerful mackerel shark of the Atlantic and Pacific
MALE,keep,01321230: an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova)
MALI,exclude,no clear singular countable sense (heuristic)
MALL,keep,04010205: a public area set aside as a pedestrian walk
MALT,keep,07926642: a milkshake made with malt powder
MAMO,keep,01545010: black honeycreepers with yellow feathers around the tail
MANE,keep,01899746: long coarse hair growing from the crest of the animal's neck
MARC,exclude,no clear singular countable sense (heuristic)
MARE,keep,02377480: female equine animal
MARK,keep,04681387: a marking that consists of lines that cross each other
MARL,exclude,no clear singular countable sense (heuristic)
MART,keep,03722288: an area in a town where a public mercantile establishment is set up
MARY,exclude,no clear singular countable sense (heuristic)
MASA,exclude,no clear singular countable sense (heuristic)
MASH,exclude,no clear singular countable sense (heuristic)
MASK,keep,03724870: a covering to disguise or conceal the face
MASS,keep,07962124: an ill-structured collection of similar things (objects or people)
MAST,keep,03726760: a vertical spar for supporting sails
MATE,keep,00167764: a chess move constituting an inescapable and indefensible attack on the opponent's king
MATH,keep,06000644: a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
MAUL,keep,03731695: a heavy long-handled hammer used to drive stakes or wedges
MAYA,exclude,no clear singular countable sense (heuristic)
MAZE,exclude,no clear singular countable sense (heuristic)
MEAD,exclude,no clear singular countable sense (heuristic)
MEAL,exclude,no clear singular countable sense (heuristic)
MEAN,keep,06023969: an average of n numbers computed by adding some function of the numbers and dividing by some function of n
MEAT,exclude,no clear singular countable sense (heuristic)
MEED,keep,13284356: a fitting reward
MEET,keep,07467846: a meeting at which a number of athletic contests are held
MELD,keep,00497060: a form of rummy using two decks of cards and four jokers
MELT,exclude,no clear singular countable sense (heuristic)
MEMO,keep,06506191: a written proposal or reminder
MEND,exclude,no clear singular countable sense (heuristic)
MENU,keep,05911124: an agenda of things to do
MERE,keep,09351547: a small pond of standing water
MERL,keep,01558594: common black European thrush
MESA,exclude,no clear singular countable sense (heuristic)
MESH,keep,03819595: an open fabric of string or rope or wire woven together at regular intervals
MESS,keep,03751065: a (large) military dining room where service personnel eat or relax
METE,keep,08512736: a line that indicates a boundary
MICA,exclude,no clear singular countable sense (heuristic)
MICK,exclude,no clear singular countable sense (heuristic)
MIEN,exclude,no clear singular countable sense (heuristic)
MIFF,keep,14407070: a state of irritation or annoyance
MIKE,exclude,no clear singular countable sense (heuristic)
MILE,keep,07469325: a footrace extending one mile
MILK,exclude,no clear singular countable sense (heuristic)
MILL,keep,03316406: a plant consisting of one or more buildings with facilities for manufacturing
MILO,exclude,no clear singular countable sense (heuristic)
MILT,exclude,no clear singular countable sense (heuristic)
MIME,keep,00550016: a performance using gestures and body movements without words
MINA,keep,01577659: tropical Asian starlings
MIND,keep,05837957: an opinion formed by judging something
MINE,exclude,no clear singular countable sense (heuristic)
MING,exclude,no clear singular countable sense (heuristic)
MINK,keep,02442845: slender-bodied semiaquatic mammal having partially webbed feet
MINT,keep,03772269: a plant where money is coined by authority of the government
MINX,keep,09965134: a seductive woman who uses her sex appeal to exploit men
MIRE,keep,09355850: a soft wet area of low-lying land that sinks underfoot
MIRO,exclude,no clear singular countable sense (heuristic)
MISS,keep,07319774: a failure to hit (or meet or find etc)
MIST,keep,11482706: a thin fog with condensation near the ground
MITE,keep,13774115: a slight but appreciable amount
MITT,exclude,no clear singular countable sense (heuristic)
MOAN,keep,07126383: an utterance expressing pain or disapproval
MOAT,exclude,no clear singular countable sense (heuristic)
MOCK,exclude,no clear singular countable sense (heuristic)
MODE,keep,13802634: a classification of propositions on the basis of whether they claim necessity or possibility or impossibility
MOHO,exclude,no clear singular countable sense (heuristic)
MOJO,keep,05968209: a magic power or magic spell
MOKE,keep,02389865: British informal for donkey
MOLA,keep,02656670: among the largest bony fish
MOLD,keep,"04732709: a distinctive nature, character, or type"
MOLE,keep,02894605: a protective structure of stone or concrete
MOLL,exclude,no clear singular countable sense (heuristic)
MOLT,exclude,no clear singular countable sense (heuristic)
MONA,exclude,no clear singular countable sense (heuristic)
MONK,keep,10112129: a male religious living in a cloister and devoting himself to contemplation and prayer and work
MONO,keep,14135277: an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream
MOOD,keep,07551052: a characteristic (habitual or relatively temporary) state of feeling
MOON,exclude,no clear singular countable sense (heuristic)
MOOR,exclude,no clear singular countable sense (heuristic)
MOOT,keep,01183638: a hypothetical case that law students argue as an exercise
MOPE,keep,09988703: someone who wastes time
MORE,exclude,no clear singular countable sense (heuristic)
MORN,exclude,no clear singular countable sense (heuristic)
MORO,exclude,no clear singular countable sense (heuristic)
MOSS,exclude,no clear singular countable sense (heuristic)
MOTE,exclude,no clear singular countable sense (heuristic)
MOTH,keep,02283201: typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae
MOTT,exclude,no clear singular countable sense (heuristic)
MOVE,keep,00331950: a change of position that does not entail a change of location
MUCH,keep,13776621: a great amount or extent
MUCK,exclude,no clear singular countable sense (heuristic)
MUFF,keep,03796974: a warm tubular covering for the hands
MUIR,exclude,no clear singular countable sense (heuristic)
MULE,keep,02390101: hybrid offspring of a male donkey and a female horse
MULL,keep,09362945: a term used in Scottish names of promontories
MUNG,exclude,no clear singular countable sense (heuristic)
MUNJ,exclude,no clear singular countable sense (heuristic)
MURK,keep,14521648: an atmosphere in which visibility is reduced because of a cloud of some substance
MUSE,exclude,no clear singular countable sense (heuristic)
MUSH,keep,00308208: a journey by dogsled
MUSK,exclude,no clear singular countable sense (heuristic)
MUSS,keep,14500047: a state of confusion and disorderliness
MUST,keep,09363970: a necessary or essential thing
MUTE,keep,03802973: a device used to soften the tone of a musical instrument
MUTT,keep,02084861: an inferior dog or one of mixed breed
MYNA,keep,01577659: tropical Asian starlings
MYTH,keep,06372680: a traditional story accepted as history
NAGA,exclude,no clear singular countable sense (heuristic)
NAIF,keep,10344121: a naive or inexperienced person
NAIL,keep,03804744: a thin pointed piece of metal that is hammered into materials as a fastener
NAME,keep,06333653: a language unit by which a person or thing is known
NAPA,exclude,no clear singular countable sense (heuristic)
NAPE,exclude,no clear singular countable sense (heuristic)
NAPU,keep,02436353: chevrotain somewhat larger than the kanchil
NARD,keep,03809211: an aromatic ointment used in antiquity
NARK,keep,10345302: a lawman concerned with narcotics violations
NASH,exclude,no clear singular countable sense (heuristic)
NAST,exclude,no clear singular countable sense (heuristic)
NAVE,exclude,no clear singular countable sense (heuristic)
NAVY,keep,04969703: a dark shade of blue
NAZE,exclude,no clear singular countable sense (heuristic)
NEAP,keep,07403300: a less than average tide occurring at the first and third quarters of the moon
NECK,keep,03814112: an opening in a garment for the neck of the wearer
NEED,keep,14449126: a condition requiring relief
NEEM,exclude,no clear singular countable sense (heuristic)
NEON,exclude,no clear singular countable sense (heuristic)
NESS,keep,09233715: a strip of land projecting into a body of water
NEST,keep,03819217: a kind of gun emplacement
NEVE,exclude,no clear singular countable sense (heuristic)
NEWS,exclude,possible plural or plural-only form
